date,sentiment
20200428,"{'neg': 0.035, 'neu': 0.85, 'pos': 0.116, 'compound': 0.9995}"
20200327,"{'neg': 0.047, 'neu': 0.807, 'pos': 0.146, 'compound': 0.9998}"
20200325,"{'neg': 0.016, 'neu': 0.882, 'pos': 0.103, 'compound': 0.9995}"
20200128,"{'neg': 0.004, 'neu': 0.883, 'pos': 0.113, 'compound': 0.9997}"
20200128,"{'neg': 0.029, 'neu': 0.81, 'pos': 0.161, 'compound': 0.9999}"
20191119,"{'neg': 0.026, 'neu': 0.771, 'pos': 0.204, 'compound': 1.0}"
20191106,"{'neg': 0.008, 'neu': 0.896, 'pos': 0.096, 'compound': 0.999}"
20191106,"{'neg': 0.01, 'neu': 0.883, 'pos': 0.106, 'compound': 0.9992}"
20191024,"{'neg': 0.016, 'neu': 0.849, 'pos': 0.135, 'compound': 0.9999}"
20191011,"{'neg': 0.043, 'neu': 0.796, 'pos': 0.162, 'compound': 0.9996}"
20190826,"{'neg': 0.043, 'neu': 0.808, 'pos': 0.149, 'compound': 0.9998}"
20190725,"{'neg': 0.032, 'neu': 0.778, 'pos': 0.191, 'compound': 0.9999}"
20190611,"{'neg': 0.061, 'neu': 0.815, 'pos': 0.124, 'compound': 0.9865}"
20190530,"{'neg': 0.029, 'neu': 0.79, 'pos': 0.18, 'compound': 0.9995}"
20190515,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.9916}"
20190502,"{'neg': 0.055, 'neu': 0.744, 'pos': 0.202, 'compound': 0.9999}"
20200428,"{'neg': 0.007, 'neu': 0.894, 'pos': 0.099, 'compound': 0.9987}"
20200416,"{'neg': 0.021, 'neu': 0.864, 'pos': 0.114, 'compound': 0.9997}"
20200227,"{'neg': 0.012, 'neu': 0.814, 'pos': 0.174, 'compound': 0.9999}"
20200211,"{'neg': 0.011, 'neu': 0.892, 'pos': 0.097, 'compound': 0.9988}"
20200122,"{'neg': 0.025, 'neu': 0.837, 'pos': 0.139, 'compound': 0.9997}"
20200108,"{'neg': 0.011, 'neu': 0.885, 'pos': 0.104, 'compound': 0.999}"
20191219,"{'neg': 0.009, 'neu': 0.889, 'pos': 0.103, 'compound': 0.9996}"
20191119,"{'neg': 0.035, 'neu': 0.783, 'pos': 0.182, 'compound': 0.9999}"
20191113,"{'neg': 0.012, 'neu': 0.815, 'pos': 0.173, 'compound': 0.9999}"
20191112,"{'neg': 0.008, 'neu': 0.886, 'pos': 0.106, 'compound': 0.9997}"
20191016,"{'neg': 0.018, 'neu': 0.847, 'pos': 0.134, 'compound': 0.9998}"
20191015,"{'neg': 0.013, 'neu': 0.885, 'pos': 0.103, 'compound': 0.9992}"
20190910,"{'neg': 0.012, 'neu': 0.816, 'pos': 0.172, 'compound': 0.9999}"
20190717,"{'neg': 0.021, 'neu': 0.81, 'pos': 0.169, 'compound': 0.9999}"
20190625,"{'neg': 0.0, 'neu': 0.835, 'pos': 0.165, 'compound': 0.9875}"
20190430,"{'neg': 0.007, 'neu': 0.773, 'pos': 0.22, 'compound': 0.9949}"
20200501,"{'neg': 0.026, 'neu': 0.843, 'pos': 0.131, 'compound': 0.9994}"
20200427,"{'neg': 0.016, 'neu': 0.872, 'pos': 0.112, 'compound': 0.9994}"
20200420,"{'neg': 0.023, 'neu': 0.854, 'pos': 0.122, 'compound': 0.9991}"
20200406,"{'neg': 0.024, 'neu': 0.856, 'pos': 0.121, 'compound': 0.9992}"
20200323,"{'neg': 0.02, 'neu': 0.863, 'pos': 0.117, 'compound': 0.9995}"
20200309,"{'neg': 0.016, 'neu': 0.875, 'pos': 0.109, 'compound': 0.9996}"
20200224,"{'neg': 0.016, 'neu': 0.877, 'pos': 0.107, 'compound': 0.9996}"
20200214,"{'neg': 0.007, 'neu': 0.88, 'pos': 0.113, 'compound': 0.9997}"
20200207,"{'neg': 0.022, 'neu': 0.858, 'pos': 0.12, 'compound': 0.9997}"
20200127,"{'neg': 0.016, 'neu': 0.873, 'pos': 0.112, 'compound': 0.9997}"
20191220,"{'neg': 0.023, 'neu': 0.854, 'pos': 0.123, 'compound': 0.9993}"
20191126,"{'neg': 0.021, 'neu': 0.792, 'pos': 0.187, 'compound': 0.9999}"
20191118,"{'neg': 0.02, 'neu': 0.853, 'pos': 0.128, 'compound': 0.9992}"
20191113,"{'neg': 0.036, 'neu': 0.81, 'pos': 0.154, 'compound': 0.9999}"
20191107,"{'neg': 0.021, 'neu': 0.862, 'pos': 0.118, 'compound': 0.9995}"
20191107,"{'neg': 0.04, 'neu': 0.793, 'pos': 0.167, 'compound': 0.9999}"
20191106,"{'neg': 0.037, 'neu': 0.851, 'pos': 0.112, 'compound': 0.9986}"
20191101,"{'neg': 0.022, 'neu': 0.841, 'pos': 0.136, 'compound': 0.9997}"
20191025,"{'neg': 0.024, 'neu': 0.852, 'pos': 0.124, 'compound': 0.9996}"
20191022,"{'neg': 0.016, 'neu': 0.842, 'pos': 0.143, 'compound': 0.9999}"
20190926,"{'neg': 0.021, 'neu': 0.82, 'pos': 0.16, 'compound': 0.9999}"
20190923,"{'neg': 0.041, 'neu': 0.798, 'pos': 0.161, 'compound': 0.9999}"
20190916,"{'neg': 0.029, 'neu': 0.801, 'pos': 0.17, 'compound': 0.9998}"
20190916,"{'neg': 0.036, 'neu': 0.793, 'pos': 0.171, 'compound': 0.9999}"
20190830,"{'neg': 0.042, 'neu': 0.769, 'pos': 0.189, 'compound': 0.9999}"
20190726,"{'neg': 0.027, 'neu': 0.839, 'pos': 0.133, 'compound': 0.9991}"
20190716,"{'neg': 0.041, 'neu': 0.772, 'pos': 0.187, 'compound': 0.9999}"
20190625,"{'neg': 0.07, 'neu': 0.708, 'pos': 0.222, 'compound': 0.9999}"
20190506,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.9814}"
20200430,"{'neg': 0.021, 'neu': 0.842, 'pos': 0.137, 'compound': 0.9997}"
20200206,"{'neg': 0.024, 'neu': 0.824, 'pos': 0.152, 'compound': 0.9993}"
20200113,"{'neg': 0.03, 'neu': 0.802, 'pos': 0.168, 'compound': 0.9989}"
20191031,"{'neg': 0.025, 'neu': 0.818, 'pos': 0.157, 'compound': 0.999}"
20190809,"{'neg': 0.009, 'neu': 0.881, 'pos': 0.11, 'compound': 0.9991}"
20190805,"{'neg': 0.006, 'neu': 0.887, 'pos': 0.108, 'compound': 0.9991}"
20190801,"{'neg': 0.023, 'neu': 0.804, 'pos': 0.173, 'compound': 0.9986}"
20190603,"{'neg': 0.011, 'neu': 0.792, 'pos': 0.197, 'compound': 0.9992}"
20190502,"{'neg': 0.075, 'neu': 0.766, 'pos': 0.159, 'compound': 0.9987}"
20200319,"{'neg': 0.059, 'neu': 0.78, 'pos': 0.161, 'compound': 0.9997}"
20200130,"{'neg': 0.016, 'neu': 0.704, 'pos': 0.28, 'compound': 1.0}"
20200129,"{'neg': 0.016, 'neu': 0.849, 'pos': 0.135, 'compound': 0.9994}"
20200113,"{'neg': 0.036, 'neu': 0.803, 'pos': 0.161, 'compound': 0.9998}"
20191219,"{'neg': 0.048, 'neu': 0.797, 'pos': 0.155, 'compound': 0.9997}"
20191101,"{'neg': 0.002, 'neu': 0.771, 'pos': 0.227, 'compound': 0.9989}"
20190926,"{'neg': 0.053, 'neu': 0.782, 'pos': 0.165, 'compound': 0.9997}"
20190924,"{'neg': 0.009, 'neu': 0.732, 'pos': 0.259, 'compound': 0.9994}"
20190718,"{'neg': 0.002, 'neu': 0.768, 'pos': 0.23, 'compound': 0.9992}"
