,neg,neu,pos
2019-04-29, 0.021 , 0.868 , 0.112 
2019-04-30, 0.040 , 0.797 , 0.163 
2019-05-01, 0.038 , 0.795 , 0.167 
2019-05-02, 0.037 , 0.799 , 0.164 
2019-05-03, 0.021 , 0.804 , 0.175 
2019-05-06, 0.033 , 0.803 , 0.165 
2019-05-07, 0.030 , 0.797 , 0.173 
2019-05-08, 0.026 , 0.803 , 0.171 
2019-05-09, 0.034 , 0.794 , 0.171 
2019-05-10, 0.021 , 0.818 , 0.160 
2019-05-13, 0.024 , 0.823 , 0.153 
2019-05-14, 0.017 , 0.818 , 0.165 
2019-05-15, 0.018 , 0.820 , 0.162 
2019-05-16, 0.027 , 0.808 , 0.165 
2019-05-17, 0.022 , 0.800 , 0.178 
2019-05-20, 0.028 , 0.790 , 0.182 
2019-05-21, 0.026 , 0.822 , 0.152 
2019-05-22, 0.023 , 0.817 , 0.159 
2019-05-23, 0.024 , 0.822 , 0.154 
2019-05-24, 0.017 , 0.805 , 0.177 
2019-05-28, 0.016 , 0.820 , 0.164 
2019-05-29, 0.023 , 0.804 , 0.173 
2019-05-30, 0.038 , 0.784 , 0.179 
2019-05-31, 0.023 , 0.798 , 0.179 
2019-06-03, 0.022 , 0.818 , 0.159 
2019-06-04, 0.033 , 0.788 , 0.180 
2019-06-05, 0.031 , 0.790 , 0.179 
2019-06-06, 0.022 , 0.809 , 0.168 
2019-06-07, 0.028 , 0.803 , 0.169 
2019-06-10, 0.029 , 0.805 , 0.166 
2019-06-11, 0.032 , 0.798 , 0.170 
2019-06-12, 0.025 , 0.798 , 0.177 
2019-06-13, 0.026 , 0.814 , 0.159 
2019-06-14, 0.019 , 0.820 , 0.161 
2019-06-17, 0.034 , 0.785 , 0.181 
2019-06-18, 0.025 , 0.832 , 0.142 
2019-06-19, 0.032 , 0.803 , 0.165 
2019-06-20, 0.028 , 0.809 , 0.163 
2019-06-21, 0.036 , 0.783 , 0.181 
2019-06-24, 0.030 , 0.797 , 0.173 
2019-06-25, 0.030 , 0.802 , 0.168 
2019-06-26, 0.026 , 0.794 , 0.180 
2019-06-27, 0.028 , 0.813 , 0.159 
2019-06-28, 0.019 , 0.803 , 0.177 
2019-07-01, 0.033 , 0.799 , 0.169 
2019-07-02, 0.029 , 0.791 , 0.180 
2019-07-03, 0.026 , 0.798 , 0.176 
2019-07-05, 0.033 , 0.787 , 0.180 
2019-07-08, 0.029 , 0.783 , 0.188 
2019-07-09, 0.023 , 0.820 , 0.157 
2019-07-10, 0.019 , 0.838 , 0.143 
2019-07-11, 0.034 , 0.807 , 0.159 
2019-07-12, 0.030 , 0.808 , 0.162 
2019-07-15, 0.026 , 0.807 , 0.166 
2019-07-16, 0.038 , 0.800 , 0.162 
2019-07-17, 0.040 , 0.780 , 0.179 
2019-07-18, 0.036 , 0.805 , 0.159 
2019-07-19, 0.027 , 0.799 , 0.175 
2019-07-22, 0.033 , 0.803 , 0.164 
2019-07-23, 0.046 , 0.781 , 0.173 
2019-07-24, 0.037 , 0.803 , 0.160 
2019-07-25, 0.035 , 0.806 , 0.159 
2019-07-26, 0.034 , 0.800 , 0.166 
2019-07-29, 0.027 , 0.808 , 0.164 
2019-07-30, 0.039 , 0.806 , 0.156 
2019-07-31, 0.037 , 0.800 , 0.163 
2019-08-01, 0.039 , 0.799 , 0.161 
2019-08-02, 0.034 , 0.798 , 0.168 
2019-08-05, 0.029 , 0.819 , 0.152 
2019-08-06, 0.036 , 0.803 , 0.162 
2019-08-07, 0.037 , 0.793 , 0.169 
2019-08-08, 0.030 , 0.821 , 0.150 
2019-08-09, 0.025 , 0.821 , 0.154 
2019-08-12, 0.029 , 0.804 , 0.167 
2019-08-13, 0.029 , 0.814 , 0.157 
2019-08-14, 0.021 , 0.823 , 0.155 
2019-08-15, 0.033 , 0.798 , 0.169 
2019-08-16, 0.025 , 0.819 , 0.157 
2019-08-19, 0.021 , 0.814 , 0.165 
2019-08-20, 0.025 , 0.815 , 0.160 
2019-08-21, 0.028 , 0.822 , 0.151 
2019-08-22, 0.028 , 0.820 , 0.152 
2019-08-23, 0.031 , 0.780 , 0.189 
2019-08-26, 0.028 , 0.824 , 0.148 
2019-08-27, 0.029 , 0.838 , 0.134 
2019-08-28, 0.034 , 0.810 , 0.156 
2019-08-29, 0.023 , 0.817 , 0.160 
2019-08-30, 0.025 , 0.824 , 0.152 
2019-09-03, 0.016 , 0.842 , 0.142 
2019-09-04, 0.032 , 0.806 , 0.163 
2019-09-05, 0.026 , 0.826 , 0.148 
2019-09-06, 0.027 , 0.807 , 0.166 
2019-09-09, 0.030 , 0.795 , 0.175 
2019-09-10, 0.023 , 0.807 , 0.169 
2019-09-11, 0.032 , 0.816 , 0.151 
2019-09-12, 0.023 , 0.828 , 0.150 
2019-09-13, 0.026 , 0.817 , 0.157 
2019-09-16, 0.024 , 0.832 , 0.145 
2019-09-17, 0.026 , 0.801 , 0.173 
2019-09-18, 0.023 , 0.838 , 0.139 
2019-09-19, 0.021 , 0.830 , 0.149 
2019-09-20, 0.029 , 0.817 , 0.154 
2019-09-23, 0.014 , 0.848 , 0.138 
2019-09-24, 0.023 , 0.825 , 0.152 
2019-09-25, 0.030 , 0.823 , 0.147 
2019-09-26, 0.027 , 0.820 , 0.153 
2019-09-27, 0.023 , 0.797 , 0.180 
2019-09-30, 0.029 , 0.807 , 0.165 
2019-10-01, 0.023 , 0.813 , 0.163 
2019-10-02, 0.031 , 0.804 , 0.165 
2019-10-03, 0.029 , 0.804 , 0.167 
2019-10-04, 0.027 , 0.785 , 0.187 
2019-10-07, 0.020 , 0.833 , 0.147 
2019-10-08, 0.014 , 0.867 , 0.119 
2019-10-09, 0.018 , 0.853 , 0.129 
2019-10-10, 0.026 , 0.803 , 0.171 
2019-10-11, 0.029 , 0.802 , 0.169 
2019-10-14, 0.029 , 0.802 , 0.169 
2019-10-15, 0.023 , 0.823 , 0.154 
2019-10-16, 0.032 , 0.799 , 0.169 
2019-10-17, 0.033 , 0.819 , 0.148 
2019-10-18, 0.024 , 0.822 , 0.153 
2019-10-21, 0.025 , 0.821 , 0.154 
2019-10-22, 0.037 , 0.800 , 0.163 
2019-10-23, 0.034 , 0.818 , 0.149 
2019-10-24, 0.030 , 0.826 , 0.144 
2019-10-25, 0.025 , 0.823 , 0.152 
2019-10-28, 0.032 , 0.814 , 0.154 
2019-10-29, 0.035 , 0.817 , 0.149 
2019-10-30, 0.036 , 0.815 , 0.149 
2019-10-31, 0.037 , 0.806 , 0.156 
2019-11-01, 0.025 , 0.823 , 0.152 
2019-11-04, 0.034 , 0.791 , 0.175 
2019-11-05, 0.032 , 0.805 , 0.163 
2019-11-06, 0.035 , 0.812 , 0.152 
2019-11-07, 0.036 , 0.812 , 0.152 
2019-11-08, 0.022 , 0.817 , 0.161 
2019-11-11, 0.022 , 0.817 , 0.161 
2019-11-12, 0.025 , 0.824 , 0.151 
2019-11-13, 0.030 , 0.823 , 0.147 
2019-11-14, 0.022 , 0.831 , 0.147 
2019-11-15, 0.019 , 0.836 , 0.145 
2019-11-18, 0.029 , 0.805 , 0.166 
2019-11-19, 0.024 , 0.821 , 0.155 
2019-11-20, 0.026 , 0.818 , 0.157 
2019-11-21, 0.031 , 0.812 , 0.157 
2019-11-22, 0.020 , 0.840 , 0.140 
2019-11-25, 0.028 , 0.815 , 0.157 
2019-11-26, 0.026 , 0.828 , 0.146 
2019-11-27, 0.027 , 0.794 , 0.179 
2019-11-29, 0.025 , 0.813 , 0.162 
2019-12-02, 0.022 , 0.833 , 0.146 
2019-12-03, 0.026 , 0.831 , 0.143 
2019-12-04, 0.023 , 0.818 , 0.159 
2019-12-05, 0.026 , 0.824 , 0.150 
2019-12-06, 0.025 , 0.799 , 0.176 
2019-12-09, 0.020 , 0.827 , 0.153 
2019-12-10, 0.023 , 0.812 , 0.165 
2019-12-11, 0.031 , 0.814 , 0.156 
2019-12-12, 0.024 , 0.826 , 0.150 
2019-12-13, 0.018 , 0.835 , 0.147 
2019-12-16, 0.024 , 0.826 , 0.151 
2019-12-17, 0.033 , 0.814 , 0.153 
2019-12-18, 0.020 , 0.811 , 0.169 
2019-12-19, 0.023 , 0.832 , 0.145 
2019-12-20, 0.021 , 0.824 , 0.155 
2019-12-23, 0.018 , 0.823 , 0.160 
2019-12-24, 0.018 , 0.823 , 0.160 
2019-12-26, 0.035 , 0.785 , 0.180 
2019-12-27, 0.017 , 0.828 , 0.155 
2019-12-30, 0.026 , 0.805 , 0.169 
2019-12-31, 0.041 , 0.788 , 0.172 
2020-01-02, 0.016 , 0.853 , 0.132 
2020-01-03, 0.029 , 0.794 , 0.177 
2020-01-06, 0.018 , 0.834 , 0.148 
2020-01-07, 0.022 , 0.831 , 0.148 
2020-01-08, 0.026 , 0.828 , 0.146 
2020-01-09, 0.024 , 0.819 , 0.157 
2020-01-10, 0.011 , 0.867 , 0.122 
2020-01-13, 0.029 , 0.829 , 0.142 
2020-01-14, 0.027 , 0.827 , 0.146 
2020-01-15, 0.034 , 0.808 , 0.158 
2020-01-16, 0.035 , 0.819 , 0.146 
2020-01-17, 0.027 , 0.817 , 0.157 
2020-01-21, 0.027 , 0.823 , 0.150 
2020-01-22, 0.029 , 0.805 , 0.166 
2020-01-23, 0.033 , 0.807 , 0.159 
2020-01-24, 0.029 , 0.807 , 0.164 
2020-01-27, 0.028 , 0.824 , 0.148 
2020-01-28, 0.033 , 0.817 , 0.150 
2020-01-29, 0.033 , 0.816 , 0.151 
2020-01-30, 0.036 , 0.805 , 0.159 
2020-01-31, 0.030 , 0.807 , 0.163 
2020-02-03, 0.028 , 0.827 , 0.146 
2020-02-04, 0.037 , 0.813 , 0.149 
2020-02-05, 0.034 , 0.803 , 0.163 
2020-02-06, 0.034 , 0.817 , 0.149 
2020-02-07, 0.024 , 0.831 , 0.145 
2020-02-10, 0.030 , 0.814 , 0.156 
2020-02-11, 0.033 , 0.810 , 0.157 
2020-02-12, 0.030 , 0.821 , 0.149 
2020-02-13, 0.033 , 0.817 , 0.151 
2020-02-14, 0.025 , 0.816 , 0.159 
2020-02-18, 0.025 , 0.825 , 0.150 
2020-02-19, 0.030 , 0.812 , 0.158 
2020-02-20, 0.033 , 0.808 , 0.159 
2020-02-21, 0.029 , 0.806 , 0.165 
2020-02-24, 0.029 , 0.816 , 0.155 
2020-02-25, 0.026 , 0.817 , 0.156 
2020-02-26, 0.028 , 0.812 , 0.160 
2020-02-27, 0.036 , 0.808 , 0.156 
2020-02-28, 0.022 , 0.821 , 0.157 
2020-03-02, 0.020 , 0.840 , 0.140 
2020-03-03, 0.027 , 0.810 , 0.163 
2020-03-04, 0.027 , 0.821 , 0.152 
2020-03-05, 0.027 , 0.822 , 0.150 
2020-03-06, 0.022 , 0.823 , 0.155 
2020-03-09, 0.028 , 0.822 , 0.150 
2020-03-10, 0.024 , 0.826 , 0.150 
2020-03-11, 0.027 , 0.811 , 0.161 
2020-03-12, 0.026 , 0.829 , 0.144 
2020-03-13, 0.019 , 0.828 , 0.153 
2020-03-16, 0.023 , 0.835 , 0.142 
2020-03-17, 0.027 , 0.820 , 0.153 
2020-03-18, 0.026 , 0.832 , 0.142 
2020-03-19, 0.028 , 0.823 , 0.149 
2020-03-20, 0.031 , 0.811 , 0.157 
2020-03-23, 0.022 , 0.839 , 0.139 
2020-03-24, 0.027 , 0.828 , 0.145 
2020-03-25, 0.026 , 0.832 , 0.142 
2020-03-26, 0.032 , 0.813 , 0.155 
2020-03-27, 0.028 , 0.818 , 0.154 
2020-03-30, 0.029 , 0.819 , 0.152 
2020-03-31, 0.032 , 0.819 , 0.149 
2020-04-01, 0.029 , 0.817 , 0.155 
2020-04-02, 0.028 , 0.815 , 0.157 
2020-04-03, 0.030 , 0.820 , 0.150 
2020-04-06, 0.031 , 0.822 , 0.147 
2020-04-07, 0.027 , 0.825 , 0.148 
2020-04-08, 0.031 , 0.814 , 0.155 
2020-04-09, 0.024 , 0.833 , 0.143 
2020-04-13, 0.032 , 0.819 , 0.149 
2020-04-14, 0.032 , 0.813 , 0.155 
2020-04-15, 0.028 , 0.810 , 0.163 
2020-04-16, 0.031 , 0.818 , 0.151 
2020-04-17, 0.031 , 0.810 , 0.159 
2020-04-20, 0.030 , 0.812 , 0.158 
2020-04-21, 0.044 , 0.796 , 0.161 
2020-04-22, 0.040 , 0.813 , 0.147 
2020-04-23, 0.035 , 0.810 , 0.154 
