Date,High,Low,Open,Close,Volume,Adj Close,Month,Day_month,Day_week,GDP,Fund_Rate,Unemployement,Neg,Neu,Pos
2019-04-29,2949.52002,2939.350098,2940.580078,2943.030029,3118780000,2943.030029,4,29,0,2,2.45,3.6,0.021,0.868,0.112
2019-04-30,2948.219971,2924.110107,2937.139893,2945.830078,3919330000,2945.830078,4,30,1,2,2.45,3.6,0.040,0.797,0.163
2019-05-01,2954.129883,2923.360107,2952.330078,2923.72998,3645850000,2923.72998,5,1,2,2,2.45,3.6,0.038,0.795,0.167
2019-05-02,2931.679932,2900.5,2922.159912,2917.52002,3778890000,2917.52002,5,2,3,2,2.41,3.6,0.037,0.799,0.164
2019-05-03,2947.850098,2929.209961,2929.209961,2945.639893,3338120000,2945.639893,5,3,4,2,2.4,3.6,0.021,0.804,0.175
2019-05-06,2937.320068,2898.209961,2908.889893,2932.469971,3181520000,2932.469971,5,6,0,2,2.4,3.6,0.033,0.803,0.165
2019-05-07,2913.030029,2862.600098,2913.030029,2884.050049,3767100000,2884.050049,5,7,1,2,2.4,3.6,0.030,0.797,0.173
2019-05-08,2897.959961,2873.280029,2879.610107,2879.419922,3485790000,2879.419922,5,8,2,2,2.39,3.6,0.026,0.803,0.171
2019-05-09,2875.969971,2836.399902,2859.840088,2870.719971,3638820000,2870.719971,5,9,3,2,2.38,3.6,0.034,0.794,0.171
2019-05-10,2891.310059,2825.389893,2863.100098,2881.399902,3529600000,2881.399902,5,10,4,2,2.38,3.6,0.021,0.818,0.160
2019-05-13,2840.189941,2801.429932,2840.189941,2811.870117,3894030000,2811.870117,5,13,0,2,2.38,3.6,0.024,0.823,0.153
2019-05-14,2852.540039,2820.120117,2820.120117,2834.409912,3322720000,2834.409912,5,14,1,2,2.38,3.6,0.017,0.818,0.165
2019-05-15,2858.679932,2815.080078,2820.379883,2850.959961,3125950000,2850.959961,5,15,2,2,2.4,3.6,0.018,0.820,0.162
2019-05-16,2892.149902,2855.800049,2855.800049,2876.320068,3338060000,2876.320068,5,16,3,2,2.39,3.6,0.027,0.808,0.165
2019-05-17,2885.47998,2854.22998,2858.600098,2859.530029,3257950000,2859.530029,5,17,4,2,2.39,3.6,0.022,0.800,0.178
2019-05-20,2853.860107,2831.290039,2841.939941,2840.22998,3288870000,2840.22998,5,20,0,2,2.39,3.6,0.028,0.790,0.182
2019-05-21,2868.879883,2854.02002,2854.02002,2864.360107,3218700000,2864.360107,5,21,1,2,2.39,3.6,0.026,0.822,0.152
2019-05-22,2865.469971,2851.110107,2856.060059,2856.27002,3192510000,2856.27002,5,22,2,2,2.38,3.6,0.023,0.817,0.159
2019-05-23,2836.699951,2805.48999,2836.699951,2822.23999,3891980000,2822.23999,5,23,3,2,2.38,3.6,0.024,0.822,0.154
2019-05-24,2841.360107,2820.189941,2832.409912,2826.060059,2887390000,2826.060059,5,24,4,2,2.38,3.6,0.017,0.805,0.177
2019-05-28,2840.51001,2801.580078,2830.030029,2802.389893,4121410000,2802.389893,5,28,1,2,2.39,3.6,0.016,0.820,0.164
2019-05-29,2792.030029,2766.060059,2790.25,2783.02002,3700050000,2783.02002,5,29,2,2,2.39,3.6,0.023,0.804,0.173
2019-05-30,2799,2776.73999,2786.939941,2788.860107,3273790000,2788.860107,5,30,3,2,2.39,3.6,0.038,0.784,0.179
2019-05-31,2768.97998,2750.52002,2766.149902,2752.060059,3981020000,2752.060059,5,31,4,2,2.4,3.6,0.023,0.798,0.179
2019-06-03,2763.070068,2728.810059,2751.530029,2744.449951,3943810000,2744.449951,6,3,0,2,2.38,3.7,0.022,0.818,0.159
2019-06-04,2804.48999,2762.639893,2762.639893,2803.27002,3810430000,2803.27002,6,4,1,2,2.38,3.7,0.033,0.788,0.180
